epoch,tr_loss,va_loss,tr_rec,va_rec,tr_aln,va_aln
1,0.9451619267463685,1.0866872072219849,0.9395138382911682,1.081693172454834,0.005648098979145288,0.004994082264602184
2,1.0030914187431335,1.0861294269561768,0.9985008358955383,1.0821846723556519,0.004590584244579077,0.00394470477476716
3,1.0140995264053345,1.0854004621505737,1.0106533527374268,1.0827665328979492,0.0034461849834769966,0.0026339043397456408
4,0.993584954738617,1.0849554538726807,0.9913452386856079,1.0833768844604492,0.0022397086722776294,0.0015785328578203917
5,0.9969894528388977,1.0847010612487793,0.9957154989242554,1.0838446617126465,0.0012739623547531665,0.0008564410964027047
6,1.0252761960029602,1.0850290060043335,1.0245903372764587,1.084575891494751,0.000685854471521452,0.0004530714068096131
7,1.0286385536193847,1.0854690074920654,1.0282537460327148,1.0851671695709229,0.00038481675437651575,0.0003018568968400359
8,0.9815925121307373,1.0866819620132446,0.9813147783279419,1.086423635482788,0.00027772112225648015,0.0002583693712949753
9,1.0018616557121276,1.0873219966888428,1.0016271471977234,1.0870802402496338,0.0002345093002077192,0.00024180496984627098
10,0.9707611441612244,1.088592290878296,0.9705318927764892,1.0883592367172241,0.00022925726370885967,0.0002330543502466753
11,1.0374194860458374,1.0900344848632812,1.03720543384552,1.0897377729415894,0.00021406340529210864,0.0002966668107546866
12,1.0181759953498841,1.0898367166519165,1.0176820635795594,1.088586449623108,0.000493930047377944,0.0012502442114055157
13,1.0158856630325317,1.0551161766052246,1.0110546112060548,1.033881664276123,0.004831044923048466,0.021234460175037384
14,0.8268197178840637,0.6480511426925659,0.7647590398788452,0.5007430911064148,0.06206069178879261,0.14730802178382874
15,0.32889090180397035,0.16532129049301147,0.20825643986463546,0.13265292346477509,0.12063446491956711,0.03266837075352669
16,0.11001798510551453,0.10327324271202087,0.09515894800424576,0.09644629061222076,0.014859037287533284,0.006826953496783972
17,0.09498828649520874,0.09648074209690094,0.08987557739019394,0.09212779253721237,0.005112709105014801,0.004352951422333717
18,0.09343012124300003,0.12061373889446259,0.089764703810215,0.11763037741184235,0.0036654176190495493,0.002983357757329941
19,0.09357443153858185,0.1170767992734909,0.09066609889268876,0.11452729254961014,0.0029083328787237405,0.0025495097506791353
20,0.09004162102937699,0.08728460222482681,0.08753239810466766,0.08497080206871033,0.0025092239025980233,0.0023137996904551983
21,0.08060191869735718,0.08228310942649841,0.07833019793033599,0.08011061698198318,0.002271721558645368,0.002172494074329734
22,0.06825645044445991,0.07429154962301254,0.06620940938591957,0.0723680704832077,0.002047040336765349,0.0019234772771596909
23,0.0636282742023468,0.07309767603874207,0.06169619113206863,0.07135456800460815,0.0019320828840136528,0.0017431097803637385
24,0.06307976692914963,0.06971574574708939,0.06125235110521317,0.06811072677373886,0.0018274150090292097,0.0016050196718424559
25,0.06042905822396279,0.06840365380048752,0.05876143574714661,0.06690219789743423,0.0016676238039508462,0.0015014593955129385
26,0.05753212794661522,0.06539713591337204,0.05589177459478378,0.06402681022882462,0.0016403527930378913,0.0013703267322853208
27,0.057812736928462984,0.06428726762533188,0.05623587965965271,0.06301511824131012,0.0015768571756780148,0.0012721525272354484
28,0.05662611722946167,0.06135085970163345,0.05517914742231369,0.06015251204371452,0.0014469701098278164,0.001198347075842321
29,0.054505062848329545,0.05963732302188873,0.05315882787108421,0.058510955423116684,0.0013462346047163009,0.001126368879340589
30,0.053719835728406905,0.05853927880525589,0.052491940557956696,0.057475682348012924,0.001227895123884082,0.0010635980870574713
31,0.05190513655543327,0.0566701665520668,0.050741884112358096,0.05566326901316643,0.0011632522568106652,0.0010068992851302028
32,0.05168456062674522,0.05510733276605606,0.050589455664157866,0.05415136739611626,0.001095105370040983,0.0009559664176777005
33,0.04826848059892654,0.05318798869848251,0.04728037640452385,0.05228840187191963,0.0009881041129119693,0.0008995875832624733
34,0.04666516855359078,0.051395587623119354,0.04573622420430183,0.05055113509297371,0.0009289446054026485,0.0008444520062766969
35,0.04688394740223885,0.04966196417808533,0.045962294191122056,0.04886535927653313,0.0009216525941155851,0.0007966035045683384
