group,type,peaks,target,real_nearest,real_err,gen_nearest,gen_err
HEALTHY,REAL_FOUND,1643.2;1535.2;1450.4;1400.2;1315.4;1245.9;1168.8;1114.8;1080.1;929.6,,,,,
HEALTHY,GEN_FOUND,1704.9;1643.2;1604.7;1535.2;1465.8;1450.4;1427.2;1404.1;1357.8;1342.4;1326.9;1311.5;1296.1;1280.6;1265.2;1249.8;1188.1;1172.6;1134.1;1118.6;1087.8;1072.3;1056.9;1033.8;1018.3;1002.9;933.5,,,,,
HEALTHY,TARGET_DIFF,,1716.0,1643.2,-72.8,1704.9,-11.1
HEALTHY,TARGET_DIFF,,1446.0,1450.4,4.4,1450.4,4.4
HEALTHY,TARGET_DIFF,,1377.0,1400.2,23.2,1357.8,-19.2
HEALTHY,TARGET_DIFF,,1234.0,1245.9,11.9,1249.8,15.8
HEALTHY,TARGET_DIFF,,1045.0,1080.1,35.1,1033.8,-11.2
HEALTHY,TARGET_DIFF,,900.0,929.6,29.6,933.5,33.5
