ratio,n_total_train,n_synthetic,best_lv,cv_auc,test_auc,test_acc,test_sens,test_spec,tn,fp,fn,tp
0%,409,0,15,0.8630211420667852,0.8295424137008295,0.7771428571428571,0.8712871287128713,0.6486486486486487,48,26,13,88
20%,490,81,4,0.7960715453872506,0.7634466149317634,0.7028571428571428,0.801980198019802,0.5675675675675675,42,32,20,81
40%,572,163,19,0.7545930929982955,0.8284720363928285,0.7314285714285714,0.8217821782178217,0.6081081081081081,45,29,18,83
60%,653,244,7,0.7248788524907929,0.7661225582017661,0.7142857142857143,0.7920792079207921,0.6081081081081081,45,29,21,80
80%,735,326,14,0.71867304956946,0.8058603157613059,0.7257142857142858,0.8316831683168316,0.581081081081081,43,31,17,84
100%,818,409,9,0.6904453171310018,0.7617072518062618,0.7028571428571428,0.7920792079207921,0.581081081081081,43,31,21,80
