ratio,n_total_train,n_synthetic,features,best_lv,cv_auc,test_auc,test_acc,test_sens,test_spec,tn,fp,fn,tp
0%,409,0,960,22,0.799199762892709,0.7836499866202837,0.6914285714285714,0.7722772277227723,0.581081081081081,43,31,23,78
20%,490,81,960,36,0.7079137186042108,0.7777629114262777,0.72,0.801980198019802,0.6081081081081081,45,29,20,81
40%,572,163,960,38,0.6294589304880358,0.7472571581482473,0.7028571428571428,0.7623762376237624,0.6216216216216216,46,28,24,77
60%,653,244,960,34,0.6003489048265167,0.7258496119882258,0.68,0.7524752475247525,0.581081081081081,43,31,25,76
80%,735,326,960,39,0.6171558356147622,0.7746855766657748,0.7028571428571428,0.8118811881188119,0.5540540540540541,41,33,19,82
100%,818,409,960,40,0.5958246887966805,0.7243778431897244,0.6971428571428572,0.8316831683168316,0.5135135135135135,38,36,17,84
