strategy,n_train_h,n_train_c,features,test_auc,test_acc,test_sens,test_spec
Orig_Imbalanced,168,241,235,0.7601685844260102,0.6971428571428572,0.7623762376237624,0.6081081081081081
Real_Balanced_Undersample,168,168,235,0.7535456248327536,0.6742857142857143,0.7722772277227723,0.5405405405405406
Synthetic_Balanced (LDM),241,241,235,0.7687316028900189,0.7428571428571429,0.801980198019802,0.6621621621621622
cGAN_Balanced,241,241,235,0.7780974043350282,0.7257142857142858,0.8316831683168316,0.581081081081081
SMOTE_Balanced,241,241,235,0.7741503880117742,0.72,0.7722772277227723,0.6486486486486487
