strategy,n_total_train,n_syn_healthy,n_syn_cancer,features,test_auc,test_acc,test_sens,test_spec
Orig_Imbalanced,409,0,0,235,0.7601685844260102,0.6971428571428572,0.7623762376237624,0.6081081081081081
Balanced + 0%,482,73,0,235,0.7572250468290072,0.6514285714285715,0.7821782178217822,0.47297297297297297
Balanced + 20%,578,121,48,235,0.747993042547498,0.6571428571428571,0.7425742574257426,0.5405405405405406
Balanced + 40%,674,169,96,235,0.7564222638480065,0.7142857142857143,0.8118811881188119,0.581081081081081
Balanced + 60%,770,217,144,235,0.751003478726251,0.7085714285714285,0.7722772277227723,0.6216216216216216
Balanced + 80%,866,265,192,235,0.7745517795022745,0.6971428571428572,0.8118811881188119,0.5405405405405406
Balanced + 100%,964,314,241,235,0.7607706716617607,0.7142857142857143,0.8118811881188119,0.581081081081081
Balanced + 150%,1204,434,361,235,0.7546160021407545,0.6971428571428572,0.801980198019802,0.5540540540540541
Balanced + 200%,1446,555,482,235,0.7253144233342254,0.68,0.7821782178217822,0.5405405405405406
